Município de residência;2021;2022;2023;2024;2025;Total
250020 AGUIAR;2;-;-;-;-;2
250030 ALAGOA GRANDE;108;141;24;156;-;429
250040 ALAGOA NOVA;160;-;3;3;-;166
250050 ALAGOINHA;2;3;2;3;-;10
250053 ALCANTIL;-;-;-;1;-;1
250057 ALGODAO DE JANDAIRA;27;33;-;-;-;60
250060 ALHANDRA;1;1;1;-;1;4
250073 AMPARO;-;1;-;-;-;1
250080 ARACAGI;-;10;-;-;-;10
250090 ARARA;16;4;-;1;-;21
250100 ARARUNA;-;3;-;-;-;3
250110 AREIA;68;115;12;22;-;217
250120 AREIAL;-;1;-;-;-;1
250130 AROEIRAS;9;2;-;22;1;34
250135 ASSUNCAO;13;1;1;-;-;15
250140 BAIA DA TRAICAO;-;1;-;-;-;1
250150 BANANEIRAS;3;-;-;2;-;5
250153 BARAUNA;11;23;5;-;-;39
250157 BARRA DE SANTANA;10;-;-;-;-;10
250160 BARRA DE SANTA ROSA;-;4;-;2;-;6
250170 BARRA DE SAO MIGUEL;2;1;1;-;-;4
250180 BAYEUX;7;7;2;5;-;21
250200 BELEM DO BREJO DO CRUZ;-;1;-;-;-;1
250210 BOA VENTURA;-;2;-;-;-;2
250215 BOA VISTA;5;2;-;-;-;7
250240 BONITO DE SANTA FE;-;1;-;2;-;3
250250 BOQUEIRAO;4;8;1;2;1;16
250260 IGARACY;-;1;-;1;-;2
250270 BORBOREMA;1;-;-;-;1;2
250280 BREJO DO CRUZ;1;3;-;1;-;5
250290 BREJO DOS SANTOS;5;2;-;-;-;7
250300 CAAPORA;1;-;1;-;1;3
250310 CABACEIRAS;8;4;3;1;-;16
250320 CABEDELO;270;21;6;3;2;302
250330 CACHOEIRA DOS INDIOS;12;1;4;-;-;17
250350 CACIMBA DE DENTRO;1;3;-;1;-;5
250360 CAICARA;-;2;-;-;-;2
250370 CAJAZEIRAS;-;2;-;4;4;10
250380 CALDAS BRANDAO;-;1;1;-;-;2
250390 CAMALAU;1;1;-;1;-;3
