Município de residência;Ignorado;Masculino;Feminino;Total
250020 AGUIAR;-;-;2;2
250030 ALAGOA GRANDE;-;159;270;429
250040 ALAGOA NOVA;-;55;111;166
250050 ALAGOINHA;-;5;5;10
250053 ALCANTIL;-;-;1;1
250057 ALGODAO DE JANDAIRA;-;33;27;60
250060 ALHANDRA;-;2;2;4
250073 AMPARO;-;-;1;1
250080 ARACAGI;-;1;9;10
250090 ARARA;-;8;13;21
250100 ARARUNA;-;-;3;3
250110 AREIA;-;80;137;217
250120 AREIAL;-;1;-;1
250130 AROEIRAS;-;13;21;34
250135 ASSUNCAO;-;2;13;15
250140 BAIA DA TRAICAO;-;1;-;1
250150 BANANEIRAS;-;4;1;5
250153 BARAUNA;-;14;25;39
250157 BARRA DE SANTANA;-;7;3;10
250160 BARRA DE SANTA ROSA;-;4;2;6
250170 BARRA DE SAO MIGUEL;-;3;1;4
250180 BAYEUX;-;7;14;21
250200 BELEM DO BREJO DO CRUZ;-;1;-;1
250210 BOA VENTURA;-;1;1;2
250215 BOA VISTA;-;4;3;7
250240 BONITO DE SANTA FE;-;1;2;3
250250 BOQUEIRAO;-;1;15;16
250260 IGARACY;-;-;2;2
250270 BORBOREMA;-;-;2;2
250280 BREJO DO CRUZ;-;4;1;5
250290 BREJO DOS SANTOS;-;5;2;7
250300 CAAPORA;-;1;2;3
250310 CABACEIRAS;-;3;13;16
250320 CABEDELO;-;118;184;302
250330 CACHOEIRA DOS INDIOS;-;7;10;17
250350 CACIMBA DE DENTRO;-;2;3;5
250360 CAICARA;-;-;2;2
250370 CAJAZEIRAS;-;4;6;10
250380 CALDAS BRANDAO;-;2;-;2
250390 CAMALAU;-;2;1;3
250400 CAMPINA GRANDE;-;893;1344;2237
250403 CAPIM;-;1;1;2
250407 CARAUBAS;-;-;1;1
250415 CASSERENGUE;-;4;12;16
250430 CATOLE DO ROCHA;-;7;30;37
250435 CATURITE;-;13;20;33
250460 CONDE;-;7;14;21
250480 COREMAS;-;5;5;10
250485 COXIXOLA;-;1;-;1
250490 CRUZ DO ESPIRITO SANTO;-;3;5;8
250500 CUBATI;-;54;110;164
250510 CUITE;-;12;34;46
250520 CUITEGI;-;1;-;1
250523 CUITE DE MAMANGUAPE;-;1;1;2
250527 CURRAL DE CIMA;-;7;11;18
250535 DAMIAO;-;1;-;1
250540 DESTERRO;-;-;1;1
250550 VISTA SERRANA;-;1;7;8
250570 DONA INES;-;3;3;6
250580 DUAS ESTRADAS;-;-;1;1
250600 ESPERANCA;-;20;43;63
250610 FAGUNDES;-;2;5;7
250620 FREI MARTINHO;-;1;3;4
250625 GADO BRAVO;-;3;-;3
250630 GUARABIRA;-;15;26;41
250640 GURINHEM;-;2;-;2
250650 GURJAO;-;14;18;32
250660 IBIARA;-;5;-;5
250680 INGA;-;6;9;15
250690 ITABAIANA;-;5;1;6
250700 ITAPORANGA;-;-;1;1
250710 ITAPOROROCA;-;11;21;32
250720 ITATUBA;-;1;-;1
250730 JACARAU;-;2;2;4
250740 JERICO;-;1;2;3
250750 JOAO PESSOA;-;376;604;980
250760 JUAREZ TAVORA;-;2;2;4
250770 JUAZEIRINHO;-;5;12;17
250780 JUNCO DO SERIDO;-;2;-;2
250790 JURIPIRANGA;-;1;-;1
250800 JURU;-;3;2;5
250820 LAGOA DE DENTRO;-;-;3;3
250830 LAGOA SECA;-;4;6;10
250850 LIVRAMENTO;-;1;5;6
250855 LOGRADOURO;-;-;1;1
250860 LUCENA;-;-;1;1
