Município de residência;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
250020 AGUIAR;-;-;-;-;-;2;-;-;-;-;-;-;2
250030 ALAGOA GRANDE;1;23;138;18;40;52;65;34;26;19;7;6;429
250040 ALAGOA NOVA;1;19;39;42;44;11;3;4;1;-;2;-;166
250050 ALAGOINHA;-;1;1;-;1;-;-;2;-;3;-;2;10
250053 ALCANTIL;-;-;1;-;-;-;-;-;-;-;-;-;1
250057 ALGODAO DE JANDAIRA;3;-;-;5;8;16;17;4;1;4;2;-;60
250060 ALHANDRA;-;-;3;-;-;-;-;-;-;1;-;-;4
250073 AMPARO;-;-;1;-;-;-;-;-;-;-;-;-;1
250080 ARACAGI;-;-;-;7;2;-;1;-;-;-;-;-;10
250090 ARARA;-;1;-;3;3;12;2;-;-;-;-;-;21
250100 ARARUNA;1;-;1;-;-;-;-;-;1;-;-;-;3
250110 AREIA;3;27;26;28;15;28;24;30;19;11;5;1;217
250120 AREIAL;-;-;-;-;-;-;-;1;-;-;-;-;1
250130 AROEIRAS;-;2;13;-;4;4;7;3;-;1;-;-;34
250135 ASSUNCAO;-;1;-;-;1;-;1;1;2;5;3;1;15
250140 BAIA DA TRAICAO;-;-;-;-;1;-;-;-;-;-;-;-;1
250150 BANANEIRAS;-;-;-;1;-;-;2;-;-;-;2;-;5
250153 BARAUNA;-;3;3;5;8;7;5;1;-;1;5;1;39
250157 BARRA DE SANTANA;-;-;-;-;-;7;3;-;-;-;-;-;10
250160 BARRA DE SANTA ROSA;-;-;2;-;2;1;-;-;-;-;-;1;6
250170 BARRA DE SAO MIGUEL;-;1;-;-;-;-;1;-;1;1;-;-;4
250180 BAYEUX;-;3;2;2;4;1;1;-;4;2;2;-;21
250200 BELEM DO BREJO DO CRUZ;-;-;-;-;-;-;-;1;-;-;-;-;1
250210 BOA VENTURA;-;-;2;-;-;-;-;-;-;-;-;-;2
250215 BOA VISTA;-;1;1;1;3;-;-;1;-;-;-;-;7
250240 BONITO DE SANTA FE;-;-;-;-;-;-;-;-;-;2;1;-;3
250250 BOQUEIRAO;-;-;-;2;7;1;1;2;1;-;2;-;16
250260 IGARACY;-;-;-;-;-;2;-;-;-;-;-;-;2
250270 BORBOREMA;1;-;-;-;-;-;-;-;-;-;-;1;2
250280 BREJO DO CRUZ;1;-;2;-;1;1;-;-;-;-;-;-;5
250290 BREJO DOS SANTOS;-;1;1;-;-;-;3;2;-;-;-;-;7
250300 CAAPORA;-;-;-;1;1;-;-;1;-;-;-;-;3
250310 CABACEIRAS;1;1;-;-;2;6;4;1;-;-;-;1;16
250320 CABEDELO;2;3;6;9;31;134;103;5;3;1;4;1;302
250330 CACHOEIRA DOS INDIOS;-;-;5;1;1;6;-;1;1;-;2;-;17
250350 CACIMBA DE DENTRO;-;-;-;-;4;1;-;-;-;-;-;-;5
250360 CAICARA;-;-;-;-;2;-;-;-;-;-;-;-;2
250370 CAJAZEIRAS;-;3;3;1;-;1;1;-;-;1;-;-;10
250380 CALDAS BRANDAO;-;-;-;-;-;1;-;-;-;-;-;1;2
250390 CAMALAU;-;-;1;-;-;1;-;-;-;1;-;-;3
250400 CAMPINA GRANDE;25;126;980;620;237;64;58;29;42;25;21;10;2237
250403 CAPIM;-;1;-;-;-;-;-;-;-;-;1;-;2
250407 CARAUBAS;-;1;-;-;-;-;-;-;-;-;-;-;1
250415 CASSERENGUE;-;1;-;4;4;1;5;1;-;-;-;-;16
250430 CATOLE DO ROCHA;-;1;2;2;1;5;14;8;3;-;1;-;37
250435 CATURITE;-;-;1;1;-;1;4;7;13;5;-;1;33
250460 CONDE;-;-;1;1;9;6;1;1;1;1;-;-;21
250480 COREMAS;1;3;-;-;1;-;-;-;1;-;4;-;10
250485 COXIXOLA;-;-;-;-;-;-;1;-;-;-;-;-;1
250490 CRUZ DO ESPIRITO SANTO;-;4;1;1;2;-;-;-;-;-;-;-;8
250500 CUBATI;-;7;103;35;5;5;4;5;-;-;-;-;164
250510 CUITE;1;1;1;10;15;10;2;4;2;-;-;-;46
250520 CUITEGI;-;-;1;-;-;-;-;-;-;-;-;-;1
250523 CUITE DE MAMANGUAPE;-;1;-;-;-;1;-;-;-;-;-;-;2
250527 CURRAL DE CIMA;-;-;2;2;6;6;1;-;-;1;-;-;18
250535 DAMIAO;-;-;-;-;1;-;-;-;-;-;-;-;1
250540 DESTERRO;-;-;-;-;-;-;-;1;-;-;-;-;1
250550 VISTA SERRANA;-;-;-;-;2;4;-;-;2;-;-;-;8
250570 DONA INES;-;-;1;-;-;3;-;1;-;1;-;-;6
250580 DUAS ESTRADAS;-;-;1;-;-;-;-;-;-;-;-;-;1
250600 ESPERANCA;-;-;1;1;1;7;20;26;5;2;-;-;63
250610 FAGUNDES;-;1;2;1;1;-;-;1;-;-;1;-;7
250620 FREI MARTINHO;-;-;-;-;1;-;1;-;2;-;-;-;4
250625 GADO BRAVO;2;-;-;-;1;-;-;-;-;-;-;-;3
250630 GUARABIRA;-;4;8;9;8;7;-;-;1;-;1;3;41
250640 GURINHEM;-;-;1;-;-;-;-;-;1;-;-;-;2
250650 GURJAO;-;2;15;15;-;-;-;-;-;-;-;-;32
250660 IBIARA;-;-;3;-;-;-;-;-;-;-;1;1;5
250680 INGA;-;-;-;-;-;2;7;2;4;-;-;-;15
250690 ITABAIANA;-;-;1;-;-;4;-;-;-;-;-;1;6
250700 ITAPORANGA;-;-;-;-;1;-;-;-;-;-;-;-;1
250710 ITAPOROROCA;6;6;14;4;1;-;-;-;-;-;1;-;32
250720 ITATUBA;-;-;-;-;-;-;-;1;-;-;-;-;1
250730 JACARAU;-;-;2;-;2;-;-;-;-;-;-;-;4
250740 JERICO;-;-;-;1;-;1;-;-;-;-;-;1;3
250750 JOAO PESSOA;26;54;54;73;114;142;150;104;71;72;67;53;980
250760 JUAREZ TAVORA;-;-;-;-;1;-;-;-;2;1;-;-;4
250770 JUAZEIRINHO;1;-;-;-;4;9;2;-;-;-;-;1;17
250780 JUNCO DO SERIDO;1;-;-;-;1;-;-;-;-;-;-;-;2
250790 JURIPIRANGA;-;-;-;-;-;-;-;-;-;1;-;-;1
250800 JURU;-;-;1;2;-;-;1;-;1;-;-;-;5
250820 LAGOA DE DENTRO;-;2;-;1;-;-;-;-;-;-;-;-;3
250830 LAGOA SECA;1;-;2;-;2;1;1;1;-;2;-;-;10
250850 LIVRAMENTO;-;-;-;1;1;4;-;-;-;-;-;-;6
250855 LOGRADOURO;-;-;-;-;-;1;-;-;-;-;-;-;1
250860 LUCENA;-;-;-;-;-;1;-;-;-;-;-;-;1
250880 MALTA;-;-;-;-;-;-;1;-;-;-;-;-;1
250890 MAMANGUAPE;-;1;1;2;24;19;-;-;-;1;-;-;48
250905 MARCACAO;-;-;-;-;-;-;2;-;-;-;-;-;2
250910 MARI;-;-;-;-;-;-;-;-;-;-;-;1;1
250920 MASSARANDUBA;-;1;2;2;2;-;-;-;-;-;-;-;7
250930 MATARACA;-;-;-;-;-;-;-;-;-;-;1;-;1
250933 MATINHAS;-;-;-;1;-;-;-;-;-;-;-;-;1
250940 MOGEIRO;-;-;-;-;1;-;1;2;-;-;-;-;4
250950 MONTADAS;-;-;-;2;-;-;-;-;-;1;-;-;3
250960 MONTE HOREBE;-;-;-;-;-;-;-;-;1;-;-;-;1
250970 MONTEIRO;2;2;4;6;6;7;4;2;6;-;-;1;40
250980 MULUNGU;-;-;1;-;-;-;-;-;-;-;-;-;1
250990 NATUBA;3;11;18;20;34;13;37;23;5;6;13;3;186
251010 NOVA FLORESTA;1;2;13;12;14;12;11;13;5;7;7;-;97
251020 NOVA OLINDA;-;-;-;-;-;2;-;-;-;-;-;-;2
251030 NOVA PALMEIRA;-;-;1;1;2;-;-;-;-;-;1;-;5
251050 OLIVEDOS;3;1;1;2;9;4;9;2;4;1;-;2;38
251065 PARARI;-;1;-;-;-;-;-;-;-;-;-;-;1
251080 PATOS;-;-;2;2;2;7;5;1;-;-;-;1;20
251110 PEDRA LAVRADA;-;-;-;-;1;1;1;-;-;-;-;-;3
251120 PEDRAS DE FOGO;-;-;-;-;-;-;-;-;-;1;-;-;1
251130 PIANCO;-;-;-;1;2;-;1;1;-;-;-;-;5
251140 PICUI;-;1;4;5;2;2;6;1;2;-;-;-;23
251150 PILAR;5;3;3;5;23;5;32;15;5;9;8;4;117
251160 PILOES;1;1;-;-;-;-;-;-;-;1;-;-;3
251170 PILOEZINHOS;-;-;1;-;-;-;-;1;-;-;-;-;2
251180 PIRPIRITUBA;-;-;-;1;1;-;1;-;-;-;1;-;4
251190 PITIMBU;1;2;-;-;-;-;-;-;1;-;-;-;4
251200 POCINHOS;-;1;-;-;1;-;1;-;-;-;1;1;5
251210 POMBAL;1;1;-;-;-;-;-;-;-;-;-;-;2
251220 PRATA;1;-;1;-;4;1;-;1;-;-;-;-;8
251240 PUXINANA;2;1;6;4;-;3;2;1;-;-;-;-;19
251250 QUEIMADAS;3;5;9;24;244;377;321;192;44;15;8;1;1243
251260 QUIXABA;-;-;-;-;-;-;3;1;-;-;-;-;4
251270 REMIGIO;-;-;1;17;22;23;6;1;-;-;-;-;70
251272 PEDRO REGIS;-;-;1;1;-;-;-;-;-;-;-;-;2
251275 RIACHAO DO BACAMARTE;-;-;1;-;-;-;-;2;-;-;-;-;3
251276 RIACHAO DO POCO;-;-;-;-;-;1;-;-;-;-;-;-;1
251278 RIACHO DE SANTO ANTONIO;2;1;1;-;-;-;-;-;-;-;-;-;4
251290 RIO TINTO;-;-;-;-;-;-;2;1;1;-;-;-;4
251310 SALGADO DE SAO FELIX;-;-;-;-;1;-;-;-;-;-;-;-;1
251315 SANTA CECILIA;-;-;-;1;-;-;1;-;-;1;1;-;4
