Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Paraíba
Todos os casos por Município de residência e Mês notificação
Período:2020
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"250010 AGUA BRANCA";-;1;1;-;-;-;-;-;-;1;-;-;3
"250030 ALAGOA GRANDE";-;-;-;-;2;5;4;4;1;5;4;-;25
"250040 ALAGOA NOVA";1;-;-;-;-;-;4;-;-;2;7;4;18
"250060 ALHANDRA";-;-;-;-;-;-;-;1;-;-;-;-;1
"250100 ARARUNA";1;-;-;-;2;4;1;-;-;-;-;-;8
"250110 AREIA";-;-;-;-;-;2;-;1;1;2;-;-;6
"250120 AREIAL";-;-;1;-;-;-;1;-;-;-;-;-;2
"250130 AROEIRAS";-;-;-;-;1;-;-;-;-;-;-;-;1
"250140 BAIA DA TRAICAO";1;-;-;-;-;-;-;-;-;-;-;-;1
"250150 BANANEIRAS";-;1;-;-;-;-;-;-;-;-;-;-;1
"250153 BARAUNA";-;1;-;-;1;1;1;-;-;-;-;-;4
"250157 BARRA DE SANTANA";-;-;-;-;1;1;-;-;-;-;-;-;2
"250180 BAYEUX";1;-;-;-;-;-;1;-;1;1;-;-;4
"250215 BOA VISTA";-;-;-;-;-;1;1;1;-;-;-;-;3
"250220 BOM JESUS";1;-;-;-;-;1;1;-;-;-;-;-;3
"250250 BOQUEIRAO";-;1;-;1;1;-;1;-;-;-;-;-;4
"250270 BORBOREMA";-;-;-;-;1;3;3;-;-;-;-;-;7
"250280 BREJO DO CRUZ";-;-;-;-;-;-;-;-;-;1;-;-;1
"250310 CABACEIRAS";-;-;-;-;-;1;-;-;-;-;1;-;2
"250320 CABEDELO";1;-;-;-;-;1;1;-;-;1;-;-;4
"250330 CACHOEIRA DOS INDIOS";-;-;-;1;-;-;-;-;-;-;-;-;1
"250370 CAJAZEIRAS";-;1;-;-;-;-;-;-;-;-;-;-;1
"250380 CALDAS BRANDAO";-;1;-;-;-;-;-;1;-;-;-;-;2
"250400 CAMPINA GRANDE";5;3;3;4;17;26;71;29;22;8;4;3;195
"250415 CASSERENGUE";-;-;-;-;-;-;-;-;1;-;-;-;1
"250430 CATOLE DO ROCHA";-;-;-;-;-;1;-;-;1;-;-;1;3
"250435 CATURITE";-;-;-;-;4;3;1;2;1;-;-;-;11
"250440 CONCEICAO";-;-;-;-;-;1;-;-;-;-;-;-;1
"250450 CONDADO";-;-;-;-;-;1;-;-;-;-;-;-;1
"250460 CONDE";-;-;-;-;1;-;-;-;-;-;-;-;1
"250490 CRUZ DO ESPIRITO SANTO";-;-;-;-;-;-;-;1;-;-;-;-;1
"250500 CUBATI";1;-;-;-;-;-;-;-;-;-;-;-;1
"250510 CUITE";-;-;-;-;-;1;5;1;-;-;1;1;9
"250550 VISTA SERRANA";-;-;-;-;-;3;5;7;3;1;-;1;20
"250600 ESPERANCA";1;-;-;-;-;2;1;-;-;-;-;-;4
"250610 FAGUNDES";-;-;-;2;-;-;-;1;-;-;-;-;3
"250630 GUARABIRA";-;-;1;-;-;-;-;-;-;-;-;-;1
"250640 GURINHEM";-;-;-;-;-;-;-;1;-;-;-;-;1
"250680 INGA";-;-;-;-;1;1;-;-;-;-;1;-;3
"250750 JOAO PESSOA";8;4;1;-;5;14;19;26;13;10;7;16;123
"250770 JUAZEIRINHO";1;1;-;-;-;-;-;-;-;-;-;1;3
"250910 MARI";-;-;-;-;-;-;1;-;-;-;-;-;1
"250920 MASSARANDUBA";-;-;-;-;3;-;-;-;-;-;-;-;3
"250950 MONTADAS";-;-;-;-;-;-;-;-;-;-;-;1;1
"250970 MONTEIRO";-;-;-;-;-;-;1;-;-;-;3;7;11
"250990 NATUBA";-;-;-;-;-;-;1;-;-;-;-;-;1
"251050 OLIVEDOS";-;-;-;1;-;-;-;-;-;-;-;-;1
"251080 PATOS";-;-;-;-;-;-;-;1;-;-;-;-;1
"251110 PEDRA LAVRADA";-;-;-;-;-;2;1;1;3;-;-;-;7
"251140 PICUI";-;-;-;1;2;-;-;-;-;-;-;-;3
"251190 PITIMBU";-;-;-;-;-;-;-;1;-;-;-;-;1
"251200 POCINHOS";-;-;-;-;2;2;1;-;1;-;-;-;6
"251203 POCO DANTAS";-;-;-;-;-;-;-;-;-;-;1;-;1
"251210 POMBAL";-;-;-;6;2;1;-;-;-;-;-;1;10
"251240 PUXINANA";-;-;-;-;-;-;-;1;1;-;-;-;2
"251250 QUEIMADAS";1;-;3;-;5;11;6;1;2;-;2;1;32
"251270 REMIGIO";-;-;-;-;-;-;-;-;-;1;-;-;1
"251272 PEDRO REGIS";-;-;-;-;-;-;-;5;-;-;-;-;5
"251275 RIACHAO DO BACAMARTE";-;-;-;-;-;1;-;-;-;-;-;-;1
"251278 RIACHO DE SANTO ANTONIO";-;-;-;-;-;1;-;-;-;-;-;-;1
"251290 RIO TINTO";-;-;-;-;-;-;1;-;-;-;-;-;1
"251315 SANTA CECILIA";-;-;-;-;1;-;6;3;2;2;1;-;15
"251340 SANTA LUZIA";-;-;-;-;-;-;-;-;1;-;-;-;1
"251350 SANTANA DE MANGUEIRA";-;-;-;-;-;-;-;1;-;-;-;-;1
"251370 SANTA RITA";1;-;-;-;-;3;-;1;-;1;-;1;7
"251390 SAO BENTO";-;-;-;-;-;-;-;1;1;-;-;-;2
"251410 SAO JOAO DO TIGRE";-;-;1;-;-;-;1;-;-;-;-;-;2
"251490 SAO MAMEDE";-;-;-;-;-;-;-;1;-;-;-;-;1
