Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Paraíba
Todos os casos por Município de residência e Faixa Etária
Período:2021
"Município de residência";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total"
"250020 AGUIAR";1;-;-;-;-;1;-;-;-;-;-;2
"250030 ALAGOA GRANDE";1;6;9;9;5;37;24;7;3;5;2;108
"250040 ALAGOA NOVA";2;6;9;15;10;64;33;10;3;7;1;160
"250050 ALAGOINHA";-;-;1;-;-;1;-;-;-;-;-;2
"250057 ALGODAO DE JANDAIRA";1;-;2;3;-;14;7;-;-;-;-;27
"250060 ALHANDRA";-;-;-;-;1;-;-;-;-;-;-;1
"250090 ARARA";3;1;1;1;2;3;5;-;-;-;-;16
"250110 AREIA";-;1;2;6;3;33;14;5;4;-;-;68
"250130 AROEIRAS";-;1;-;-;2;5;1;-;-;-;-;9
"250135 ASSUNCAO";2;1;1;-;1;5;3;-;-;-;-;13
"250150 BANANEIRAS";-;-;2;-;-;-;-;-;1;-;-;3
"250153 BARAUNA";2;-;-;1;1;1;6;-;-;-;-;11
"250157 BARRA DE SANTANA";1;-;-;-;2;6;1;-;-;-;-;10
"250170 BARRA DE SAO MIGUEL";-;-;-;-;-;2;-;-;-;-;-;2
"250180 BAYEUX";1;-;1;-;-;2;3;-;-;-;-;7
"250215 BOA VISTA";-;-;-;-;1;-;2;-;1;1;-;5
"250250 BOQUEIRAO";-;1;-;2;-;1;-;-;-;-;-;4
"250270 BORBOREMA";-;-;-;-;-;-;-;-;-;1;-;1
"250280 BREJO DO CRUZ";-;-;-;-;-;1;-;-;-;-;-;1
"250290 BREJO DOS SANTOS";-;-;-;-;1;2;2;-;-;-;-;5
"250300 CAAPORA";-;-;-;-;-;1;-;-;-;-;-;1
"250310 CABACEIRAS";1;2;-;-;-;-;4;1;-;-;-;8
"250320 CABEDELO";5;5;19;11;13;78;106;13;9;9;2;270
"250330 CACHOEIRA DOS INDIOS";-;1;-;-;1;6;4;-;-;-;-;12
"250350 CACIMBA DE DENTRO";-;-;1;-;-;-;-;-;-;-;-;1
"250390 CAMALAU";-;-;-;-;-;1;-;-;-;-;-;1
"250400 CAMPINA GRANDE";2;3;1;2;5;57;55;11;6;6;-;148
"250403 CAPIM";-;-;1;-;-;-;-;-;-;-;-;1
"250415 CASSERENGUE";-;-;1;1;1;5;2;-;-;-;-;10
"250430 CATOLE DO ROCHA";-;-;6;2;-;3;2;-;1;-;-;14
"250435 CATURITE";-;3;4;3;1;9;4;1;-;1;-;26
"250460 CONDE";1;-;1;3;-;9;3;1;-;-;-;18
"250480 COREMAS";-;-;-;-;-;1;-;2;-;1;-;4
"250485 COXIXOLA";-;-;-;-;-;-;1;-;-;-;-;1
"250500 CUBATI";1;-;-;-;2;3;1;-;-;-;-;7
"250510 CUITE";2;6;3;3;1;9;8;4;-;1;-;37
"250523 CUITE DE MAMANGUAPE";1;-;-;-;-;-;-;-;-;-;-;1
"250527 CURRAL DE CIMA";-;-;-;-;2;8;4;-;-;1;-;15
"250540 DESTERRO";-;-;-;-;-;-;-;-;-;1;-;1
"250570 DONA INES";-;-;-;-;-;1;-;-;-;-;-;1
"250600 ESPERANCA";4;-;5;4;6;18;12;3;2;3;-;57
"250610 FAGUNDES";-;1;1;-;-;-;1;-;-;-;-;3
"250630 GUARABIRA";-;2;-;-;-;-;-;-;-;-;-;2
"250660 IBIARA";-;-;-;-;-;2;-;-;-;-;-;2
"250680 INGA";1;3;3;1;-;4;1;1;-;-;-;14
