Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Paraíba
Todos os casos por Município de residência e Sexo
Período:2022
"Município de residência";"Ignorado";"Masculino";"Feminino";"Total"
"250030 ALAGOA GRANDE";-;56;85;141
"250050 ALAGOINHA";-;2;1;3
"250057 ALGODAO DE JANDAIRA";-;16;17;33
"250060 ALHANDRA";-;-;1;1
"250073 AMPARO";-;-;1;1
"250080 ARACAGI";-;1;9;10
"250090 ARARA";-;-;4;4
"250100 ARARUNA";-;-;3;3
"250110 AREIA";-;37;78;115
"250120 AREIAL";-;1;-;1
"250130 AROEIRAS";-;1;1;2
"250135 ASSUNCAO";-;-;1;1
"250140 BAIA DA TRAICAO";-;1;-;1
"250153 BARAUNA";-;9;14;23
"250160 BARRA DE SANTA ROSA";-;2;2;4
"250170 BARRA DE SAO MIGUEL";-;1;-;1
"250180 BAYEUX";-;2;5;7
"250200 BELEM DO BREJO DO CRUZ";-;1;-;1
"250210 BOA VENTURA";-;1;1;2
"250215 BOA VISTA";-;2;-;2
"250240 BONITO DE SANTA FE";-;1;-;1
"250250 BOQUEIRAO";-;-;8;8
"250260 IGARACY";-;-;1;1
"250280 BREJO DO CRUZ";-;2;1;3
"250290 BREJO DOS SANTOS";-;2;-;2
"250310 CABACEIRAS";-;2;2;4
"250320 CABEDELO";-;11;10;21
"250330 CACHOEIRA DOS INDIOS";-;1;-;1
"250350 CACIMBA DE DENTRO";-;-;3;3
"250360 CAICARA";-;-;2;2
"250370 CAJAZEIRAS";-;1;1;2
"250380 CALDAS BRANDAO";-;1;-;1
"250390 CAMALAU";-;-;1;1
"250400 CAMPINA GRANDE";-;119;261;380
"250415 CASSERENGUE";-;-;5;5
"250430 CATOLE DO ROCHA";-;4;14;18
"250435 CATURITE";-;1;3;4
"250460 CONDE";-;-;1;1
"250480 COREMAS";-;2;3;5
"250490 CRUZ DO ESPIRITO SANTO";-;3;5;8
"250500 CUBATI";-;51;104;155
"250510 CUITE";-;2;5;7
"250520 CUITEGI";-;1;-;1
"250523 CUITE DE MAMANGUAPE";-;1;-;1
"250535 DAMIAO";-;1;-;1
"250550 VISTA SERRANA";-;1;7;8
"250570 DONA INES";-;2;2;4
"250580 DUAS ESTRADAS";-;-;1;1
"250600 ESPERANCA";-;1;2;3
"250610 FAGUNDES";-;-;2;2
"250620 FREI MARTINHO";-;-;3;3
"250625 GADO BRAVO";-;1;-;1
"250630 GUARABIRA";-;13;19;32
"250640 GURINHEM";-;1;-;1
"250650 GURJAO";-;14;16;30
"250660 IBIARA";-;3;-;3
"250680 INGA";-;1;-;1
"250690 ITABAIANA";-;2;-;2
"250710 ITAPOROROCA";-;1;2;3
"250720 ITATUBA";-;1;-;1
"250730 JACARAU";-;2;2;4
"250740 JERICO";-;-;2;2
"250750 JOAO PESSOA";-;129;222;351
"250780 JUNCO DO SERIDO";-;1;-;1
"250790 JURIPIRANGA";-;1;-;1
"250800 JURU";-;1;1;2
"250820 LAGOA DE DENTRO";-;-;3;3
"250830 LAGOA SECA";-;1;1;2
"250850 LIVRAMENTO";-;-;5;5
"250860 LUCENA";-;-;1;1
"250890 MAMANGUAPE";-;1;-;1
"250920 MASSARANDUBA";-;1;1;2
"250940 MOGEIRO";-;-;1;1
"250950 MONTADAS";-;-;1;1
"250960 MONTE HOREBE";-;1;-;1
"250970 MONTEIRO";-;2;-;2
"250990 NATUBA";-;19;41;60
"251010 NOVA FLORESTA";-;7;15;22
"251020 NOVA OLINDA";-;-;2;2
"251050 OLIVEDOS";-;2;14;16
"251080 PATOS";-;2;2;4
"251110 PEDRA LAVRADA";-;1;-;1
"251130 PIANCO";-;2;-;2
"251140 PICUI";-;-;1;1
"251150 PILAR";-;13;46;59
"251160 PILOES";-;1;1;2
"251170 PILOEZINHOS";-;1;-;1
"251180 PIRPIRITUBA";-;1;-;1
