Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Paraíba
Todos os casos por Município de residência e Sexo
Período:2024
"Município de residência";"Masculino";"Feminino";"Total"
"250030 ALAGOA GRANDE";48;108;156
"250040 ALAGOA NOVA";2;1;3
"250050 ALAGOINHA";1;2;3
"250053 ALCANTIL";-;1;1
"250090 ARARA";-;1;1
"250110 AREIA";10;12;22
"250130 AROEIRAS";10;12;22
"250150 BANANEIRAS";2;-;2
"250160 BARRA DE SANTA ROSA";2;-;2
"250180 BAYEUX";3;2;5
"250240 BONITO DE SANTA FE";-;2;2
"250250 BOQUEIRAO";-;2;2
"250260 IGARACY";-;1;1
"250280 BREJO DO CRUZ";1;-;1
"250310 CABACEIRAS";-;1;1
"250320 CABEDELO";2;1;3
"250350 CACIMBA DE DENTRO";1;-;1
"250370 CAJAZEIRAS";-;4;4
"250390 CAMALAU";1;-;1
"250400 CAMPINA GRANDE";711;966;1677
"250407 CARAUBAS";-;1;1
"250430 CATOLE DO ROCHA";-;1;1
"250435 CATURITE";2;1;3
"250460 CONDE";1;1;2
"250510 CUITE";-;1;1
"250527 CURRAL DE CIMA";1;2;3
"250570 DONA INES";-;1;1
"250600 ESPERANCA";-;1;1
"250610 FAGUNDES";-;2;2
"250630 GUARABIRA";1;2;3
"250650 GURJAO";-;2;2
"250690 ITABAIANA";1;-;1
"250750 JOAO PESSOA";55;66;121
"250770 JUAZEIRINHO";2;-;2
"250830 LAGOA SECA";1;4;5
"250920 MASSARANDUBA";2;1;3
"250933 MATINHAS";-;1;1
"250970 MONTEIRO";1;1;2
"250980 MULUNGU";1;-;1
"250990 NATUBA";12;17;29
"251010 NOVA FLORESTA";3;6;9
"251050 OLIVEDOS";1;1;2
"251065 PARARI";-;1;1
"251080 PATOS";-;3;3
"251140 PICUI";1;-;1
"251180 PIRPIRITUBA";1;-;1
"251190 PITIMBU";2;1;3
"251200 POCINHOS";2;-;2
"251240 PUXINANA";8;6;14
"251250 QUEIMADAS";5;3;8
"251270 REMIGIO";-;2;2
"251275 RIACHAO DO BACAMARTE";1;-;1
"251340 SANTA LUZIA";-;1;1
"251370 SANTA RITA";5;3;8
"251450 SAO JOSE DE PIRANHAS";2;-;2
"251490 SAO MAMEDE";1;-;1
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";1;2;3
"251520 SAO SEBASTIAO DO UMBUZEIRO";-;2;2
"251530 SAPE";1;3;4
"251540 SAO VICENTE DO SERIDO";1;-;1
"251550 SERRA BRANCA";1;-;1
"251580 SERRA REDONDA";1;-;1
"251593 SERTAOZINHO";1;-;1
"251610 SOLEDADE";-;2;2
"251620 SOUSA";1;1;2
"251630 SUME";1;-;1
"251650 TAPEROA";1;-;1
"251670 TEIXEIRA";-;1;1
"251675 TENORIO";-;1;1
"251700 UMBUZEIRO";2;2;4
"Total";917;1262;2179
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídos todos os registros notificados.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Casos notificados no Sinan Net.
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de ARBOVIROSES
 urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Dados de 2016 atualizados em 08/05/2018.
 Dados de 2017 atualizados em 29/06/2018.
 Dados de 2018 atualizados em 19/09/2019.
 Dados de 2019 atualizados em 02/07/2020.
 Dados de 2020 atualizados em 27/01/2022.
 Dados de 2021 atualizados em 10/05/2023.
 Dados de 2022 atualizados em 13/07/2023.
 Dados de 2023 atualizados em 16/04/2024.
 Dados de 2024 atualizados em 23/07/2025 às 12:00 horas.
 Dados de 2025 atualizados em 05/09/2025 às 13:00 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em setembro de 2025.
 
