Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
&Aacute;gua Branca,2500106,agua branquense,MARLUCE PEREIRA VERAS DE BRITO,241.662,9335,38.63,9580,99.2,0.572,15.87,72684807.18,69838138.4,8870.96,
Aguiar,2500205,aguiarense,MANOEL BATISTA GUEDES FILHO,351.607,5003,14.23,5026,99.49,0.597,-,52615382.76,49447163.14,10689.52,
Alagoa Grande,2500304,alagoa-grandense,JOAO BOSCO CARNEIRO NETO,322.071,26062,80.92,26655,97.48,0.582,16.13,128587326.42,137152270.28,10573.42,
Alagoa Nova,2500403,alagoa-novense,FRANCINILDO PIMENTEL DA SILVA,128.230,21013,163.87,21823,99.38,0.576,9.71,116094031.23,103542330,15961.14,
Alagoinha,2500502,alagoinhense,ALIRIO CLAUDINO DE PONTES FILHO,111.361,13725,123.25,14140,99.01,0.595,-,89064852.7,85182740.34,9468.2,
Alcantil,2500536,alcantilense,CICERO JOSE FERNANDES DO CARMO,309.896,5578,18.00,5806,98.8,0.578,-,63880592.21,55862754.22,9968.7,
Algod&atilde;o de Janda&iacute;ra,2500577,algodoense,HUMBERTO DOS SANTOS,222.740,2953,13.26,3143,100,0.548,-,34643365.21,31700161.95,11062.36,
Alhandra,2500601,alhandrense,MARCELO RODRIGUES DA COSTA,183.974,21730,118.11,23065,97.89,0.582,5.49,231746486.24,200949165,171143.98,
S&atilde;o Jo&atilde;o do Rio do Peixe,2500700,s&atilde;o-joanense,LUIZ CLAUDINO DE CARVALHO FLORENCIO,476.237,17964,37.72,18500,99.75,0.608,12.5,143708227.74,135018335.54,12515.6,
Amparo,2500734,amparense,TARCIO GABRIEL ALVES DE BRITO RAFAEL,122.094,2234,18.30,2328,100,0.606,-,31251966.92,29400461.21,13000.44,
Aparecida,2500775,aparecidense,JO&Atilde;O RABELO DE S&Aacute; NETO,291.478,7960,27.31,8257,100,0.578,-,53417036.2,46868604.95,12405.76,
Ara&ccedil;agi,2500809,ara&ccedil;agiense,JOSILDA MACENA BEN&Iacute;CIO LEITE,232.177,16646,71.70,16991,98.4,0.549,10.75,99467312.44,91419732.18,11026.72,
Arara,2500908,araraense,AMARILDO CARVALHO PEREIRA FILHO,91.306,12212,133.75,12482,98.78,0.548,8.7,53831544.54,51220236.31,8250.02,
Araruna,2501005,ararunense,AVAILDO LUIS DE ALC&Acirc;NTARA AZEVEDO,246.717,17189,69.67,17360,98.53,0.567,9.57,87669712.74,78490578.78,9912.59,
Areia,2501104,areiense,SILVIA CESAR FARIAS DA CUNHA LIMA,269.130,22633,84.10,23031,98.87,0.594,11.11,114977215.63,105316904.79,11435.64,
Areia de Bara&uacute;nas,2501153,baraunense,ANTONIO GERONIMO DUARTE MACEDO,114.078,2005,17.58,2027,98.38,0.562,-,31673138.3,28145989.45,12396.9,
Areial,2501203,areialense,CARLOS HENRIQUE PEREIRA BALBINO,35.810,7128,199.05,7434,99.17,0.608,39.47,47913326.98,45788410.7,8871.24,
Aroeiras,2501302,aroeirense,DOMINGOS MARQUES BARBOSA FILHO,376.118,18705,49.73,19142,97.03,0.548,22.64,104925530.94,103893249.73,8803.78,
Assun&ccedil;&atilde;o,2501351,assun&ccedil;&atilde;oense,WAGNER FELIPE DE OLIVEIRA VILAR,132.139,4152,31.42,4383,98.44,0.609,-,39014135.43,35505445.42,11924.64,
Ba&iacute;a da Trai&ccedil;&atilde;o,2501401,baianense,ELIZABETE DE OLIVEIRA,102.756,9224,89.77,9741,98.2,0.581,12.35,68305814.38,62666624.37,11727.05,
Bananeiras,2501500,bananeirense,MATHEUS DE MELO BEZERRA CAVALCANTI,255.641,23134,90.49,24134,97.53,0.568,3.76,127877317.97,132429767.89,13143.47,
Bara&uacute;na,2501534,baraunense,AUSTRYANEE JERONIMO DOS SANTOS,50.030,4762,95.18,5010,99.44,0.558,17.54,37550428.42,38043063.63,9891.45,
Barra de Santana,2501575,barrasantense,CLEOCELIO NAZARENO BARRETO,375.177,8059,21.48,8247,99.6,0.567,-,52099199.14,49172038.59,10889.99,
Barra de Santa Rosa,2501609,santa rosense,ALEX SANDRO AZEVEDO VIEIRA,781.187,12904,16.52,13024,98.78,0.562,21.9,83323087.55,85267479.95,9665.19,
Barra de S&atilde;o Miguel,2501708,barrense,JO&Atilde;O PAULO FRAN&Ccedil;A,609.697,5906,9.69,6123,99.64,0.572,10.99,54079042,53561022.02,13915.49,
Bayeux,2501807,bayeuxense,TARCYANNA MACEDO MOTA LEIT&Atilde;O,27.705,82742,2986.54,83862,98.19,0.649,17.02,353091445.49,370177780.07,14016.16,
